load_id,customer_id,route_id,load_date,load_type,weight_lbs,pieces,revenue,fuel_surcharge,accessorial_charges,load_status,booking_type
LOAD00000727,CUST00152,RTE00010,2022-01-10,Refrigerated,26304,8,125.93,15.64,0,Completed,Dedicated
LOAD00005546,CUST00181,RTE00010,2022-03-12,Dry Van,14307,14,125.96,15.64,0,Completed,Dedicated
LOAD00042258,CUST00167,RTE00010,2023-06-26,Refrigerated,37147,11,126.0,15.64,0,Completed,Spot
LOAD00079527,CUST00032,RTE00010,2024-10-16,Refrigerated,25422,14,126.04,15.64,200,Completed,Dedicated
LOAD00044884,CUST00090,RTE00010,2023-07-30,Refrigerated,33155,22,126.05,15.64,0,Completed,Dedicated
LOAD00033969,CUST00020,RTE00010,2023-03-11,Dry Van,42101,27,126.08,15.64,150,Completed,Dedicated
LOAD00019680,CUST00017,RTE00010,2022-09-08,Dry Van,24501,25,126.13,15.64,75,Completed,Spot
LOAD00012663,CUST00103,RTE00010,2022-06-12,Dry Van,40915,26,126.15,15.64,150,Completed,Contract
LOAD00070057,CUST00108,RTE00010,2024-06-18,Dry Van,31020,21,126.15,15.64,0,Completed,Contract
LOAD00037531,CUST00099,RTE00010,2023-04-26,Refrigerated,24824,2,126.16,15.64,100,Completed,Contract
